Complaint ,Company_Type,Label,
"@CST_KSA
  
 
 @CSTwithU
  
 @assafperfumes
  
 ياهيئه الاتصالات هذي شركه قليله حيا مايصيررر تتركونها على كيفها فلتانه
 اطلب من موقع عساف يدق علي مندوبهم ويقول ارسلي لوكيشن ؟اقوله عندك عنواني الوطني يقول عنوانك بظهره لبن ماراح اجيه انا بوصل بعرقه والسفارات تبي تجي لشحنتك تعال !!شوفوا تقييمهم",شركة شحن,سوء تعامل,
السلام عليكم جاتني مخالفه بقيمه 5000 اريال على سياره بكب وزنها 1450 من شركه سوزوكي ليش المخالفه هذي انا ماعندي دينه او سياره كبيره وبعدين السياره هذي خاصه,مركبات نقل,استفسار,
"@Saudi_TGA
  
 ؛
 تعرضت قبل شهر لسوء معامله من احد الموظفات بمحطة قطار الحرمين المدينة المنورة وتقدمت في حينها بشكوى تفصيليه لمدير المحطة المناوب وشكوى بموقع التواصل للسكك الحديدية و للمدير التنفيذي لسكك الحديد مع ذلك حتى اليوم لااحصل على 
 اين اذهب مع العلم اني تأثرت كمريض قلب",غير محدد,سوء تعامل,
"@GFS_Care
  
 
 @TGA_CARE
  
 المندوب يطلب الحضور لموقع هو اختاره لاستلام الطلب وهو خلاف موقعي المحدد بالطلب",شركة شحن,سوء تعامل,
"@SaudiTransport
  
 عندي سؤال بسيط واحتاج عليه اجابه لانه هالسؤال مهم جدا لماذا مكاتب تاجيرالسيارات تفرض علينا الكيلوهات لماذا لا يكون العداد مفتوح للمستاجر لا سيما انهم ياخذون الايجار اليومي من 100 الى 150 ريال وين وجهه الحق انه يفرض علي كيلوهات ارجو ان تنظروا الى هذا الموضوع بجديه",تأجير,استفسار,
"تم تقديم خدمة توصيل طلبات سيئة جدًا من قِبل شركة شحن مشهورة، حيث تأخرت الطلبات بشكل كبير ووصلت بحالة سيئة.",شركة توصيل,تأخير,
" 
  نشكر جهودكم الواضحة في كل الاعمال التي تقومون بها لخدمة البلاد و بتوجيهات ولاة الامر .
 ومن باب الحس الوطني عند كل المواطنين يسعدني لفت انتباهكم على أمر أصبح ظاهرة امام الجميع ولا أضن بانها تخفى عليكم",غير محدد,مخالفة انظمة,
"@TGA_CARE
  السلام عليكم ابغى اشتكي عليهم بسبب تاخير شحنة عن الوقت المتوقع 
 @SHEIN_AR
  
 @iMile_KSA",شركة شحن,تأخير,
"@smsacare
  
 طلبي وصل المنطقة من ٣ ايام والى الان ف الفرز متى استلمه ؟ ياليت تشوفون حل التأخير",شركة شحن,تأخير,
"المفروض. هيئة النقل. تسوي حملات تفتيش. بلغ. عليهم. مخالفين. ومجهولين. الهوية
 @Kaiian_KSA
  
 @TGA_CARE
  @ هيئة النقل",شركة توصيل,مخالفة انظمة,
برفع شكوى على تطبيق مرسول,شركة توصيل,اخرى,
"تم تأخير شحنتي لمدة أسبوع من قبل شركة الشحن السريع أرامكس، مما تسبب في فقدان فرصة عمل هامة.",شركة شحن,تأخير,
"@SaudiTransport
  
 @YeloDrive
  
 
 اليوم الثالث عشر من تاريخ رفع الشكوى لدى شركة يلو علما قد تجاوزا المدة النظامية وهي سبعة أيام 
 هية النقل اتمنى تشاهد وللاسف لا تجاوب منهم في ذالك ارجوا من هيئة النقل الجهه الرقابية ان تتدخل في إنصافي من تسلطهم",تأجير,تأخير,
هل صهاريج نقل المياه داخل المدن هل يلزم بكرت تشغيل وبطاقة سائق ؟,مركبات نقل,استفسار,
عندي سؤال واحتاج على اجابه عليه لماذا اصحاب مكاتب تاجير السيارات يفرضون على المستاجر كيلوهات محدده بينما راعي السياره يستلم تقريبا من 100 الى 150 يوميا ومع هذا يحدد لك الكيلوهات ويحاسبك على كل كيلو زياده من الكيلو المحدد من عندك ابغى اجابه على هذا السؤال لو سمحت,تأجير,استفسار,
سبق وان تقدمت بشكوي على شركة ارمكس للنقل ولاكن لايوجد تجاوب من الشركة ولا من قبل الهيئة العامة للنقل اين نتجه الهاتف الخاص بالشكاوي عطلان لايعمل,شركة شحن,سوء تعامل,
"@Saudi_TGA
  مادري كيف تسمحون لشركه بمزاولة نشاطها ترد على العملاء بهالطريقه وانا لي فتره انتظرهم يفعلون حسابي",غير محدد,سوء تعامل,
"@TGA_CARE
  
 
 
 @HungerStation
  
 دفعت مبلغ خمسين على طلب وما استلمه اي سائق انتظركم لي اكثر من ساعة وكل مره يزيد الوقت حق توصيل للاسف ماعندكم رقم لتواصل و البرنامج سيئ ماقدر اتواصل مع خدمت العملاء ليش تخلوني اطلب إذا ماتقدرون توصلون",شركة توصيل,سوء تعامل,
"عالعموم تم التواصل مع الجهة المنظمه لتطبيقات التوصيل 
 @TGA_CARE
  وهذا اثبات بيني وبينكم على عدم التجاوب وحل المشكله للان من قبلكم",شركة توصيل,سوء تعامل,
"تم إيقاف حسابي في تطبيق أوبر بدون سبب مقنع، ولم يتم توضيح السبب بوضوح من قبل الشركة.",شركة توصيل,سوء تعامل,
"تأخرت رحلتي مع كريم بسبب تأخير السائق المخصص لمدة ساعة كاملة، ولم يتم تقديم أي اعتذار أو تعويض.",شركة توصيل,تأخير,
"لدي شحنه تم تسليمها من خلالكم الى شخص في جده و مع العلم بأن عنواني الوطني موضح بالكامل على الطلب مع اسمي الثلاثي !
 رفعت شكوى و تم تسليم الطلب الى شخص لا اعرفه بدون النظر الى امر الشكوى او حتى التعامل معها والتواصل معي!!!!",شركة شحن,فقدان,
"قدمت في كل مكان ومافيه اي رد منكم ولا منهم 
 
 COM18875.",غير محدد,اخرى,
"@MoTLS19955
  
 
 @GFS_Express
  
 
 @GFS_Care
  
 شحنتي عندهم لها اسبوع يظهر لي تعذر التسليم وهم ماتواصلو معي ولا شي ، غلطت برقم جوالي وعدلته قبل وصلوها للرياض لكن للحين محد تواصل معي",شركة شحن,تأخير,
"الحظه هذي تسونها مع ناس و ناس لا و انتو فاهمين قصدي عيب عليكم شحنتي لها اسبوع عندكم و لمن الحين ما احد تواصل معي و انا اللي اركض وراها فوق انها مدفوع عشان توصل بسرعه تماطلون فيها الى متى و انتو كذا افشل شركة شحن 
 @AzizAlnowaiser
  
 @SaudiTransport
  
 @nazaha_gov_sa
  
 @MCgovSA",شركة شحن,تأخير,
لما مندوب التوصيل يوصل طلبي لعنوان خطأ ويضيع المشتريات اشتكيت كل أسبوع على مدار ثلاث اسابيع وكل مرة يقولو حنحل الموضوع وقربت شهر محد عبرني ولا رجعت فلوسي من أسوأ @المتاجر في التوصيلmcgovsa_care,شركة شحن,فقدان,
"@SALogisti
  
 سلام عليكم 
 عند اصدار بطاقة تشغيل مركبه لن نتمكن من اضافة المركبه على الموقع او اضافة المنشأه اكثر من مره نرجو الافاده",مركبات نقل,استفسار,
"@SaudiTransport
  
 
 @nazaha_gov_sa
  
 
 @mtcitoman
  
 
 كيف قدر يمرر صورة هذا على برنامج التعرف على الوجه",غير محدد,استفسار,
"مرحبا شركة شحن كلموني قال لك هدية بمناسبة رمضان قيمتها ? الاف لكن لازم تدفعي ??? عشان التوصيل، بلغت عالرقم انه نصاب لكن من اسبوع وكل يوم يجيني مندوب من رقم الشركة الرسمي يقولي شحنتك بالطريق اليك وجهز ??? ريال كاش !! كلمتهم مليون مره بتصرفون ومافي فايدة!!",شركة شحن,سوء تعامل,
"تم تأخير وصول الطلبية المطلوبة من تطبيق هنقرستيشن لمدة أكثر من ساعة، مما تسبب في تأثير سلبي على تجربتي.",شركة توصيل,تأخير,
جيني فيه كباتن اجانب ومخالف لنظام السعوده. وينكم عنه وسيارات قديمه ومخالفه ووو ؟؟؟؟,شركة توصيل,مخالفة انظمة,
تم رفع البلاغات من شهور مع الصور الشاحنات والحمولات من مصانع داخليه ونقل السيارات الصغيرة من الدمام الي الرياض. ولكن لم نجد تجاوب مايحتاج نرسل مثل مانتم تخالفونا بنقاط متنقله. المفروض على الجميع مثل منتم الزمت الناقل الداخلي الا بوثيقه نقل هم على الاجنبيه مثلنا,مركبات نقل,مخالفة انظمة,
"@MoTLS19955
  ارغب بتصعيد شكوى على كابتن اجني في بولت كيف الاليه ؟",شركة توصيل,استفسار,
"السلام عليكم ورحمه الله 
 كيف ارفع شكوى على تطبيق جيني",شركة توصيل,استفسار,
